z Q M500 Tstart lifetime
1.6874542424254604 1.7576145676785117e+38 978151990631871.5 119.36811626578836 0.014695210267887194
3.231224154334595 7.02030497703608e+38 13541152209442.096 752.6431361974503 0.044230453171072215
3.700545443113002 3.9691607764207017e+36 20515012922495.426 229.8340486611301 2.6626206686016385
3.222227128158151 1.0423217184250756e+38 167719842604770.44 991.909967085166 0.017520307072646284
0.8978724111009568 1.4547598036860541e+37 111370975120435.2 750.8730450968058 10.676751307832916
0.3945041701807628 7.988266928421111e+36 164826711977964.38 767.4029626501048 0.00856994504222511
0.7167732196310386 1.0087001405652618e+39 31100882267935.05 957.8792586792573 0.22331005284741373
3.711687538274794 5.618474785115037e+37 114772958964361.0 693.4393407930937 0.02482164842791543
1.8923072167615844 1.8583346196129135e+38 603179927580965.5 601.6904316422732 6.1916132796543675
0.8519250602333419 4.0353735275394523e+37 41423289184112.766 848.6908653165516 0.004649738633141222
1.7312056270513536 1.2455550864351886e+37 61120643551593.92 301.75478953159865 0.018437937327384017
1.069376838117988 7.506938018617772e+37 13900271489038.367 591.6593276269886 252.58558512019277
2.959746641530475 4.845145408401201e+38 220328803245547.4 544.2519037803974 0.06770425482926754
3.0178651409414754 2.711182600331846e+36 327603765717364.3 589.544567963299 6.975370071079618
2.3119868098187286 2.1575154937840035e+39 290909935887452.56 131.01436024304215 457.4581182152981
1.7304612887949076 4.1852735041826187e+37 108247850789493.73 579.8620841576541 0.008867638267069879
1.6658514418135129 1.836802942758263e+39 690240659123909.6 531.789265358311 15.552217486747276
2.7412506752012793 2.870135770431976e+39 37805702088791.24 392.93669650760665 0.0011197634454652783
2.3216862330454267 1.4730305714610027e+38 541718543184720.56 148.7771594237941 0.04091856766870704
1.1495298976286419 1.0424258431269251e+39 160892699967179.5 547.1466047576153 0.13951798805193982
3.446047458233524 2.742930581347651e+37 75935363509807.94 906.8150529449049 25.886564447073532
3.580708110924206 2.88918408170935e+37 22530336448279.277 543.0441227837335 3.6654198707914194
1.8904753989264806 1.7226976812682437e+36 77115571733802.2 346.0969081326044 2.7977498802709224
2.173212874225608 1.0100516918341497e+39 71667179207014.86 827.2404011375928 1.855329757523257
2.5400735883374073 1.730022218806299e+39 528257539905094.25 852.0857254149493 415.9049268260223
1.9256277298274433 2.5266673665168734e+37 577436806402803.5 719.5735388740147 0.0010658416951698651
2.416850756402018 1.5699800563547297e+37 14023846518976.445 85.23062706295615 336.0547395103927
1.5019063905239136 3.4157072561676123e+39 10346277972989.14 978.8572344542677 60.979944818493856
2.4539649177607314 5.584262260214132e+38 417484960168344.0 707.0310231391388 0.0010237461790672743
0.37268835724607463 1.53136615371507e+39 568204171426977.4 388.7913313739464 0.010424866333525247
1.01083079466583 3.9696899549008513e+39 245624108031498.7 11.781029133280274 0.17191363065900184
0.7339115564354981 4.34917456225686e+38 181059184918802.06 498.48784827972037 0.018396074523440484
0.6149017576161149 5.695641463752852e+37 38230653274147.82 339.5544018527675 0.3451659654942657
3.381059064943079 1.1006334915601182e+37 100790560601246.92 828.2457793226706 0.003783891091403904
0.07535857235595644 9.408305982850649e+38 99860836090649.22 891.7421628455313 159.42615535422888
1.7882027373965386 4.8227985975938775e+36 64950947869781.36 626.7815350129083 0.0993078345566466
0.029495337132055433 2.1545920245721825e+37 79654721076071.84 236.4129119072197 63.250544299384984
3.0662130760752917 4.8547525697561615e+38 349488306201524.56 63.25665087577204 1.4243581892739874
3.1448334893003436 1.631245892501563e+39 147862809792488.78 560.0640924104254 0.0022196634505206535
0.22867452263976418 2.881108728559512e+38 37931631400627.92 439.7616260103615 0.4342425236632882
1.0218673265083074 2.8806899742523955e+39 17229858866203.564 125.59987295815344 0.013350666771198
0.9320580800138085 6.823691241956122e+37 63828743610359.38 766.7486853979426 2.145746027906774
0.2768122415921255 4.7617596483653786e+36 497836801985545.5 363.68456443444387 2.803222488088661
0.4902585774887691 2.5776794574741952e+36 18687205529994.52 188.27185088680332 476.59912319595253
0.18534213568032865 1.8558144823088766e+39 174381227900970.75 105.39960142338056 153.55125120787932
2.140880197722066 5.850617793916652e+39 140010985182811.7 665.3039560710331 0.6285443038014861
1.2307803792536323 5.425898910598183e+37 94179313966696.98 207.1119570414023 14.045701890762842
0.32846387133941013 4.654995626514207e+38 342665845415315.75 837.2981262595601 0.49937855445996143
0.10611189528963871 2.1269614049330356e+39 21775445487536.11 656.6011218860874 51.64884920621966
0.39383138168674847 5.208341883820405e+38 346841491448448.56 96.50861934788091 0.001068517534684746
3.3547012097701083 8.67406373105979e+37 525391816312668.6 838.419999526643 0.3192402074877592
1.320995245497664 3.710363614229955e+36 98763787527310.1 981.767807637395 83.22675605188967
0.49899275807347054 2.6324310989763124e+38 207497375241894.22 247.22878056394336 183.11107250211887
2.2865930134325687 1.8642264836451903e+36 16269110187508.775 313.80148060939985 0.019777912499586395
0.9065234647106779 2.796730771409126e+39 785141660522047.6 612.3404676719642 0.04462852557864254
0.07380153255083144 1.2362293284474844e+37 164833785309838.1 917.7980926337724 169.05568601101436
3.2052465105772314 2.3898596984620288e+38 149878851280746.5 302.09905680329507 0.0018215581302600094
